# TestSim (Up to date)
# 754 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (28.8 m/s)
#   Discontinuity in rocket body diameter.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s�),Total velocity (m/s),Total acceleration (m/s�),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (�),Lateral velocity (m/s),Lateral acceleration (m/s�),Latitude (�),Longitude (�),Gravitational acceleration (m/s�),Angle of attack (�),Roll rate (�/s),Pitch rate (�/s),Yaw rate (�/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg�m�),Rotational moment of inertia (kg�m�),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s�),Reference length (cm),Reference area (cm�),Vertical orientation (zenith) (�),Lateral orientation (azimuth) (�),Wind velocity (m/s),Air temperature (�C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,4.0822,0,4.0822,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,5362.7,744.64,2.6758,0.019664,NaN,129.29,NaN,0.005525,312110,74.405,0,0.86886,0,0.6608,0.088049,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.16,81.073,90,0,NaN,15,1013.2,340.39,0.01,0.013596
0.01,2.0411e-4,0.040822,31.361,0.040822,31.361,0,0,0,0,0,0,28.61,-80.6,9.7922,88.742,0,0,0,5362.7,744.64,2.6758,0.019664,NaN,129.29,NaN,0.0054624,308576,220.69,3.926e-7,0.87055,2.2869e-5,0.6625,0.088049,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2266e-6,10.16,81.073,90,0,NaN,15,1013.2,340.39,0.01,0.015394
0.02,0.0021806,0.35448,43.136,0.35448,43.136,0,0,0,0,0,0,28.61,-80.6,9.7922,79.079,0,0,0,5361.9,743.82,2.675,0.019664,NaN,129.28,NaN,0.0054968,310518,283.8,2.3368e-4,0.86962,0.013442,0.66156,0.088049,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5386e-5,10.16,81.073,90,0,NaN,15,1013.2,340.39,0.01,0.01631
0.03,0.0078827,0.78595,47.397,0.78595,47.397,0,0,0,0,0,0,28.61,-80.6,9.7922,66.591,0,0,0,5360.6,742.51,2.6739,0.019664,NaN,129.26,NaN,0.0058117,328309,306.57,0.0021801,0.86142,0.11219,0.65337,0.088049,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0063e-4,10.16,81.073,90,0,NaN,15,1013.2,340.39,0.01,0.01724
0.04,0.018113,1.2601,51.664,1.2601,51.664,0,0,0,0,0,0,28.61,-80.6,9.7922,54.912,0,0,0,5358.9,740.8,2.6724,0.019663,NaN,129.23,NaN,0.0064398,363791,329.35,0.0074608,0.84672,0.31268,0.63867,0.088049,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6133e-4,10.16,81.073,90,0,NaN,15,1013.2,340.39,0.01,0.019284
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.033297,1.7769,55.933,1.7769,55.933,0,0,0,0,0,0,28.61,-80.6,9.7922,44.92,0,0,0,5357.2,739.09,2.671,0.019663,NaN,129.2,NaN,0.0073721,416457,352.12,0.017023,0.8281,0.54439,0.62005,0.08805,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.275e-4,10.16,81.073,90,0,NaN,15,1013.2,340.39,0.01,0.021488
0.06,0.053863,2.3364,59.016,2.3364,59.016,0,0,0,0,0,0,28.61,-80.6,9.7922,37.355,0,0,0,5355.5,737.38,2.6695,0.019663,NaN,129.17,NaN,0.0086349,487793,368.53,0.031013,0.80735,0.72292,0.59928,0.088052,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9914e-4,10.16,81.073,90,0,NaN,15,1013.2,340.39,0.01,0.022991
0.07,0.080178,2.9267,59.651,2.9267,59.651,0,0,0,0,0,0,28.61,-80.6,9.7922,31.52,0,0,0,5353.6,735.5,2.6679,0.019662,NaN,129.13,NaN,0.010086,569776,371.82,0.049217,0.78795,0.84087,0.57988,0.088053,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7472e-4,10.16,81.073,90,0,NaN,14.999,1013.2,340.39,0.01,0.024597
0.08,0.11243,3.5234,60.214,3.5234,60.214,0,0,0,0,0,0,28.61,-80.6,9.7922,27.142,0,0,0,5351.5,733.42,2.6661,0.019662,NaN,129.1,NaN,0.011632,657104,374.71,0.070574,0.77096,0.90655,0.56289,0.088056,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5112e-4,10.16,81.073,90,0,NaN,14.999,1013.2,340.39,0.01,0.02597
